Date,Portfolio_Value
2010-02-18,1000000.0
2010-02-19,1002824.8936696477
2010-02-22,988732.3974610008
2010-02-23,1002318.162650455
2010-02-24,1008000.3002093246
2010-02-25,1016538.4770446438
2010-02-26,1010072.0721846693
2010-03-01,1011384.2564598788
2010-03-02,1035533.8720493657
2010-03-03,1024977.5769081375
2010-03-04,1022561.6391644926
2010-03-05,1025169.0202219333
2010-03-08,1016586.0471113785
2010-03-09,1024551.0254480725
2010-03-10,1023188.0944357552
2010-03-11,1032179.6650536974
2010-03-12,1011808.2675327777
2010-03-15,1012118.1751059724
2010-03-16,997145.2825572825
2010-03-17,991107.0552509238
2010-03-18,997250.4792667695
2010-03-19,992571.7259868458
2010-03-22,994734.6298708251
2010-03-23,1001670.9413522857
2010-03-24,1005224.2206502818
2010-03-25,1010990.5128270241
2010-03-26,1018578.7382620639
2010-03-29,1016702.7844640128
2010-03-30,1002112.8289625299
2010-03-31,1002916.224013574
2010-04-01,1000536.4558789653
2010-04-05,986937.5639965772
2010-04-06,972770.4452402175
2010-04-07,983430.1657660927
2010-04-08,964738.7046285002
2010-04-09,960330.2480504535
2010-04-12,958205.5840759664
2010-04-13,961609.9191470668
2010-04-14,960748.9419431043
2010-04-15,946641.5232981577
2010-04-16,939094.927812662
2010-04-19,928200.2153576971
2010-04-20,928508.5827155778
2010-04-21,912372.5174304772
2010-04-22,923408.9260522496
2010-04-23,930474.4767415961
2010-04-26,931222.3138769271
2010-04-27,921413.6704457528
2010-04-28,898145.2587856839
2010-04-29,898989.2257048402
2010-04-30,896685.0200313755
2010-05-03,902783.5634436934
2010-05-04,894683.4452279008
2010-05-05,890851.1425040958
2010-05-06,884313.3164678214
2010-05-07,902944.7486083094
2010-05-10,903629.0846682973
2010-05-11,899652.5941717325
2010-05-12,896074.8494475675
2010-05-13,899893.3974788017
2010-05-14,893834.1157583379
2010-05-17,881782.6404105964
2010-05-18,893908.8742803393
2010-05-19,914485.7191634942
2010-05-20,935233.8935408259
2010-05-21,954443.8862803107
2010-05-24,928522.7121511297
2010-05-25,925597.6778238064
2010-05-26,943796.323815845
2010-05-27,944691.8522548921
2010-05-28,952736.5279732826
2010-06-01,944844.8095805233
2010-06-02,924000.0331859421
2010-06-03,935927.5684543548
2010-06-04,912964.5720098352
2010-06-07,909217.6319841977
2010-06-08,906413.9202849679
2010-06-09,906874.2412579013
2010-06-10,919371.5934321894
2010-06-11,927039.6305880034
2010-06-14,939491.7413450984
2010-06-15,940456.5651224138
2010-06-16,959546.7614172131
2010-06-17,958745.0290978467
2010-06-18,950178.3816469789
2010-06-21,939281.8019904041
2010-06-22,944706.0374232823
2010-06-23,961618.7993363121
2010-06-24,970489.5248415403
2010-06-25,981355.2637967488
2010-06-28,970363.4720087838
2010-06-29,972392.4180525386
2010-06-30,953101.5682820855
2010-07-01,955155.3839179554
2010-07-02,956616.7057016521
2010-07-06,951900.3896887836
2010-07-07,965423.971736438
2010-07-08,909597.5679508029
2010-07-09,916306.9857125898
2010-07-12,944075.492426187
2010-07-13,946929.9497172444
2010-07-14,935398.553475722
2010-07-15,938604.6824993676
2010-07-16,932153.1037247935
2010-07-19,920576.4820517856
2010-07-20,928804.1582862589
2010-07-21,911442.6524436069
2010-07-22,927765.9008367562
2010-07-23,937280.1146626899
2010-07-26,931875.1839759091
2010-07-27,936779.186650293
2010-07-28,940837.5458933893
2010-07-29,942234.688891775
2010-07-30,932501.4625941896
2010-08-02,921613.8262751696
2010-08-03,904101.7302375762
2010-08-04,893386.5155649433
2010-08-05,900623.9435066169
2010-08-06,885755.2869632898
2010-08-09,891626.2603124614
2010-08-10,901359.8890114035
2010-08-11,902544.4105482913
2010-08-12,882858.272394326
2010-08-13,889562.8377495144
2010-08-16,881156.9029553079
2010-08-17,890722.7635247243
2010-08-18,896106.8205964315
2010-08-19,894047.5507934422
2010-08-20,885447.1743626709
2010-08-23,886689.1418110803
2010-08-24,893470.5443407998
2010-08-25,895589.3729467592
2010-08-26,884324.7693556217
2010-08-27,893264.9095334043
2010-08-30,897458.182617069
2010-08-31,901576.8105524632
2010-09-01,890655.1045612764
2010-09-02,875753.8250170411
2010-09-03,866052.2975396977
2010-09-07,868986.3670645861
2010-09-08,870571.965633101
2010-09-09,862986.5463689808
2010-09-10,865724.3357052096
2010-09-13,862184.9267525317
2010-09-14,864888.3844665671
2010-09-15,862957.5840480528
2010-09-16,864741.9873798816
2010-09-17,860303.9741819882
2010-09-20,864598.8150585608
2010-09-21,884244.1327937132
2010-09-22,879890.6124043986
2010-09-23,872472.9046931812
2010-09-24,877197.6200097864
2010-09-27,881516.5845854203
2010-09-28,884996.4563006975
2010-09-29,882302.6849043415
2010-09-30,886170.1150506614
2010-10-01,885032.1318288421
2010-10-04,889576.7498665992
2010-10-05,900722.4716261474
2010-10-06,906828.5016073519
2010-10-07,903224.4395735309
2010-10-08,904751.3141227164
2010-10-11,912366.4732773517
2010-10-12,919910.0487595432
2010-10-13,925140.7328375655
2010-10-14,929261.8915061774
2010-10-15,927924.4294512089
2010-10-18,921322.2979106596
2010-10-19,924558.6228860959
2010-10-20,926993.0698050698
2010-10-21,926070.5728370289
2010-10-22,930827.3930638079
2010-10-25,928024.4944234774
2010-10-26,929374.5701455652
2010-10-27,929696.8217131349
2010-10-28,928449.4942260482
2010-10-29,930004.8600734074
2010-11-01,933749.8759229516
2010-11-02,931495.398993431
2010-11-03,928979.1368767419
2010-11-04,928972.6575713011
2010-11-05,930138.2854148867
2010-11-08,935428.3652987008
2010-11-09,934493.3759805993
2010-11-10,940070.291750526
2010-11-11,941687.1575658913
2010-11-12,933510.1048738589
2010-11-15,929106.9908033758
2010-11-16,932211.770991386
2010-11-17,935444.156802841
2010-11-18,927723.1116266062
2010-11-19,931268.9359268106
2010-11-22,924319.9099956732
2010-11-23,928393.8782642679
2010-11-24,935266.5558859364
2010-11-26,939113.7480726376
2010-11-29,939976.9906087597
2010-11-30,931693.1717511903
2010-12-01,941618.8237310014
2010-12-02,941619.6667487917
2010-12-03,950805.7506600171
2010-12-06,959162.6866242846
2010-12-07,970009.4569860239
2010-12-08,963344.378496832
2010-12-09,953894.2178193034
2010-12-10,957708.9941209406
2010-12-13,953085.0163423577
2010-12-14,955490.9602192473
2010-12-15,953309.0745385065
2010-12-16,955839.5274664368
2010-12-17,950301.6104956989
2010-12-20,948010.4548512013
2010-12-21,957548.8143431315
2010-12-22,970469.0041211735
2010-12-23,981134.2421297263
2010-12-27,973203.908689186
2010-12-28,972631.502315796
2010-12-29,976466.9742922471
2010-12-30,977902.4230914898
